LLK;parmB1;parmB2;parmB3;LIT_frg;POM_split;DOC_frg;DOC_lch;parmK1;parmK2;parmK3;parmK4;parmK5;parmK9;parmK10;la_2;la_3;sigma2Litter;sigma2Soil
-1726.8887210179648;0.6730841487593072;0.5628516679782369;0.7663817057270167;4.675735222295289E-5;0.7972195231727524;0.4922937213034005;1.9653404976145494E-4;0.4517152610862858;0.0011179301696449826;1.0216239049014658E-4;0.8689505135273762;6.278496971359985E-5;1.073675689779649E-5;5.328195474210329E-4;0.022300554816548104;0.01579211593970463;238.39943149979663;699.7912928002249
-1721.9330254490417;0.6875584559100318;0.5809936078592332;0.7805759609700735;4.3223557494360933E-5;0.8050765292220918;0.49473052004832524;1.4291542086454948E-4;0.43973528144288926;0.0011195522088109722;1.0091854078098317E-4;0.8728181797268959;6.1022025833702154E-5;1.0655741967802977E-5;5.341855871202597E-4;0.022726553076622358;0.015556519397185832;239.27217128385112;699.4855314580111
-1720.1018432527235;0.6666123233520149;0.5909961692346614;0.7872304547822039;3.154554205218855E-5;0.8072088056520044;0.5104935277575074;1.605386057918535E-4;0.4400645665669948;0.0011081846025120627;1.0157248124733251E-4;0.8750424116963962;6.148893496944704E-5;1.0755781165341525E-5;5.335406485250906E-4;0.02270494174352752;0.015485864818097906;240.85069012164388;699.8689673464212
-1724.5641396079532;0.6592509159178642;0.543348320981093;0.7539731223974284;3.4167657552179156E-5;0.8086267250034618;0.48163188743872215;2.280987250255341E-4;0.4421775023853467;0.001121492252661201;1.0298623228646673E-4;0.8764667398009353;6.0331863001723044E-5;1.0598286650146108E-5;5.334338082967428E-4;0.02278062856442528;0.015557207490674425;241.81647845170045;699.2166460388024
-1718.6226625693423;0.6499837456019129;0.5881200846572465;0.7824422047298952;3.5432313489139096E-5;0.8065512186815221;0.48621133544858175;2.517923526644469E-4;0.44561167597827805;0.0011010762317465637;1.0385986729520493E-4;0.871918681807759;6.0080865760587794E-5;1.0522236224803094E-5;5.332153471904412E-4;0.023094820456567678;0.015485145804357064;238.4196815530918;699.7106353015281
-1722.6872459292263;0.5707978515863268;0.5998937735179514;0.7880208360766408;4.4573668572769624E-5;0.806103230634302;0.4742029794007391;2.0266436999388256E-4;0.44483173164452533;0.0011039820263101772;1.0527217243243384E-4;0.8713586782195223;6.043430663923674E-5;1.0481731708903981E-5;5.332234285491006E-4;0.022886758728430146;0.015372329170035942;237.33569131835785;698.8442939403463
-1719.595139263655;0.6922115587188268;0.5536712353220388;0.7898618339750878;3.163990415048403E-5;0.8095833480615073;0.4655861507167585;1.5282194042531166E-4;0.45018031139902315;0.001121729843904966;1.0568942355454278E-4;0.8704024598994201;6.0064669978922404E-5;1.044818133071452E-5;5.352765947697063E-4;0.02392322834998308;0.015259735210764888;237.96971146801764;696.9026760742931
-1719.1821263049305;0.6657292895571771;0.5574841611004568;0.7735628291812392;3.420595871184775E-5;0.8106093636717446;0.4709985879654593;1.4410090379566042E-4;0.4456835294714442;0.0011019969623136457;1.0557288075279185E-4;0.8715457619391144;6.007081979875055E-5;1.0339640208070534E-5;5.362647878336677E-4;0.022857647867941012;0.015278899629129972;236.84770727817266;698.2260407824244
-1723.495783071513;0.6343039908599584;0.592386402525288;0.7714700155861546;3.071809121289077E-5;0.8036570070962226;0.4613385822005406;2.1234738666353088E-4;0.44519934709722514;0.0011036159898186822;1.0528480801527927E-4;0.8691663449104245;6.22725931514125E-5;1.0364523158763866E-5;5.350575130251112E-4;0.023074950987102393;0.015338848493668641;238.09121549478465;698.2588220583438
-1719.3667181760754;0.6769423600452046;0.5972326974594092;0.7865803840128844;3.649777235561354E-5;0.8015403548182677;0.44928116582670546;1.3171458746240685E-4;0.42706142407198516;0.001106921672988825;1.0574994741830006E-4;0.8753075387632916;6.184473829468906E-5;1.0361830023553501E-5;5.351307770676448E-4;0.022966220184046357;0.01529427545413161;238.75455007784026;699.7928386676643
